FLO.ST — Table des vecteurs système Smaky 6
============================================================
343 entrées de 8 octets

  N°     Adr  Nom       Octets raw
 133  0x001B  ERDRO     00 1B 20 CF D2 44 D2 45
 134  0x0011  ERDNM     00 11 20 CD CE 44 D2 45
 135  0x000A  ERDLE     00 0A 20 C5 CC 44 D2 45
 136  0x0015  ERDIF     00 15 20 C6 C9 44 D2 45
 137  0x0014  ERDCH     00 14 20 C8 C3 44 D2 45
 138  0x0009  ERCRE     00 09 20 C5 D2 43 D2 45
 139  0x0028  ERBTS     00 28 20 D3 D4 42 D2 45
 140  0x001E  ERBFU     00 1E 20 D5 C6 42 D2 45
 141  0x001D  ERBDL     00 1D 20 CC C4 42 D2 45
 142  0x0004  ERAPR     00 04 20 D2 D0 41 D2 45
 143  0x000E  ERADR     00 0E 20 D2 C4 41 D2 45
 144  0x5500  ENDGRA    55 00 41 D2 C7 44 CE 45
 145  0x00FF  ENDC      00 FF 20 A0 C3 44 CE 45
 146  0x4500  ENDALP    45 00 50 CC C1 44 CE 45
 147  0x0004  END       00 04 20 A0 A0 44 CE 45
 148  0x0002  EFIX      00 02 20 A0 D8 49 C6 45
 149  0x0000  EFFAC     00 00 20 C3 C1 46 C6 45
 150  0x007F  DO1       00 7F 20 A0 A0 31 CF 44
 151  0x00FC  DO        00 FC 20 A0 A0 20 CF 44
 152  0x007F  DEL       00 7F 20 A0 A0 4C C5 44
 153  0x001F  DEFINE    00 1F 45 CE C9 46 C5 44
 154  0x001F  DEF       00 1F 20 A0 A0 46 C5 44
 155  0x0000  DATAC     00 00 20 C3 C1 54 C1 44
 156  0x0040  CURSOR    00 40 52 CF D3 52 D5 43
 157  0x0003  CTAB      00 03 20 A0 C2 41 D4 43
 158  0x0006  CROIX     00 06 20 D8 C9 4F D2 43
 159  0x000D  CR        00 0D 20 A0 A0 20 D2 43
 160  0x0020  COPY      00 20 20 A0 D9 50 CF 43
 161  0x0618  CONTRE    06 18 45 D2 D4 4E CF 43
 162  0x0615  CONTA     06 15 20 C1 D4 4E CF 43
 163  0x0000  COBUS     00 00 20 D3 D5 42 CF 43
 164  0x00EF  COB       00 EF 20 A0 A0 42 CF 43
 165  0x00FE  CMODE     00 FE 20 C5 C4 4F CD 43
 166  0x060C  CMOD      06 0C 20 A0 C4 4F CD 43
 167  0x0603  CLRP      06 03 20 A0 D0 52 CC 43
 168  0x0001  CLOCK     00 01 20 CB C3 4F CC 43
 169  0x0002  CLEARW    00 02 57 D2 C1 45 CC 43
 170  0x0000  CLA       00 00 20 A0 A0 41 CC 43
 171  0x0001  CHANGE    00 01 45 C7 CE 41 C8 43
 172  0x454B  CHAMAC    45 4B 43 C1 CD 41 C8 43
 173  0x001B  CESC      00 1B 20 A0 C3 53 C5 43
 174  0x0007  CEND      00 07 20 A0 C4 4E C5 43
 175  0x000A  CCR       00 0A 20 A0 A0 52 C3 43
 176  0x0001  CBS       00 01 20 A0 A0 53 C2 43
 177  0x0001  CADR      00 01 20 A0 D2 44 C1 43
 178  0x0004  BWIN2     00 04 20 B2 CE 49 D7 42
 179  0x0003  BWIN1     00 03 20 B1 CE 49 D7 42
 180  0x0002  BWIN0     00 02 20 B0 CE 49 D7 42
 181  0x45C0  BUFLIN    45 C0 4E C9 CC 46 D5 42
 182  0x0000  BSING     00 00 20 C7 CE 49 D3 42
 183  0x0008  BS        00 08 20 A0 A0 20 D3 42
 184  0x0000  BRDYP     00 00 20 D0 D9 44 D2 42
 185  0x1012  BOOT      10 12 20 A0 D4 4F CF 42
 186  0x0001  BFULP     00 01 20 D0 CC 55 C6 42
